pop_size,crossover,crossover_prob,mutation,mutation_prob,F1,F2,F3
100,HUX,0.0,BFM,0.01,4.0, 88.0, 7140.984939783078
100,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
100,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
100,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
100,HUX,0.0,BFM,0.01,4.0, 86.0, 7191.4970823983895
100,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
100,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
100,HUX,0.0,BFM,0.01,6.0, 82.0, 5899.117767333966
100,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
100,HUX,0.0,BFM,0.05,6.0, 82.0, 5899.117767333966
100,HUX,0.0,BFM,0.05,3.0, 98.0, 9442.890268870551
100,HUX,0.0,BFM,0.05,2.0, 132.0, 23911.862997881926
100,HUX,0.0,BFM,0.05,2.0, 134.0, 21536.60069810438
100,HUX,0.0,BFM,0.05,6.0, 80.0, 6105.298387332064
100,HUX,0.0,BFM,0.05,5.0, 82.0, 5978.13916086702
100,HUX,0.0,BFM,0.05,4.0, 86.0, 6830.604633521283
100,HUX,0.0,BFM,0.05,1.0, 196.0, 67880.3635706255
100,HUX,0.0,BFM,0.05,7.0, 78.0, 5391.678885263456
100,HUX,0.0,BFM,0.1,2.0, 132.0, 23911.862997881926
100,HUX,0.0,BFM,0.1,2.0, 134.0, 21536.60069810438
100,HUX,0.0,BFM,0.1,1.0, 196.0, 67880.3635706255
100,HUX,0.0,BFM,0.1,4.0, 86.0, 6830.604633521283
100,HUX,0.0,BFM,0.1,3.0, 98.0, 9442.890268870551
100,HUX,0.0,BFM,0.1,5.0, 82.0, 5978.13916086702
100,HUX,0.0,BFM,0.1,6.0, 82.0, 5899.117767333966
100,HUX,0.0,BFM,0.1,7.0, 78.0, 5391.678885263456
100,HUX,0.0,IM,0.01,2.0, 134.0, 21536.60069810438
100,HUX,0.0,IM,0.01,1.0, 196.0, 67880.3635706255
100,HUX,0.0,IM,0.01,3.0, 98.0, 9442.890268870551
100,HUX,0.0,IM,0.01,5.0, 82.0, 5978.13916086702
100,HUX,0.0,IM,0.01,2.0, 132.0, 23911.862997881926
100,HUX,0.0,IM,0.01,6.0, 82.0, 5899.117767333966
100,HUX,0.0,IM,0.01,4.0, 86.0, 6830.604633521283
100,HUX,0.0,IM,0.01,7.0, 78.0, 5391.678885263456
100,HUX,0.0,IM,0.05,2.0, 132.0, 23911.862997881926
100,HUX,0.0,IM,0.05,1.0, 196.0, 67880.3635706255
100,HUX,0.0,IM,0.05,3.0, 98.0, 9442.890268870551
100,HUX,0.0,IM,0.05,6.0, 82.0, 5899.117767333966
100,HUX,0.0,IM,0.05,4.0, 86.0, 6830.604633521283
100,HUX,0.0,IM,0.05,5.0, 82.0, 5978.13916086702
100,HUX,0.0,IM,0.05,2.0, 140.0, 23634.060564167856
100,HUX,0.0,IM,0.05,7.0, 78.0, 5391.678885263456
100,HUX,0.0,IM,0.1,1.0, 196.0, 67880.3635706255
100,HUX,0.0,IM,0.1,2.0, 134.0, 21536.60069810438
100,HUX,0.0,IM,0.1,3.0, 98.0, 9442.890268870551
100,HUX,0.0,IM,0.1,5.0, 82.0, 5978.13916086702
100,HUX,0.0,IM,0.1,2.0, 132.0, 23911.862997881926
100,HUX,0.0,IM,0.1,7.0, 78.0, 5391.678885263456
100,HUX,0.0,IM,0.1,6.0, 82.0, 5899.117767333966
100,HUX,0.0,IM,0.1,4.0, 86.0, 6830.604633521283
100,TPX,0.7,BFM,0.01,2.0, 134.0, 21536.60069810438
100,TPX,0.7,BFM,0.01,6.0, 82.0, 5899.117767333966
100,TPX,0.7,BFM,0.01,1.0, 196.0, 67880.3635706255
100,TPX,0.7,BFM,0.01,3.0, 98.0, 9442.890268870551
100,TPX,0.7,BFM,0.01,4.0, 86.0, 6830.604633521283
100,TPX,0.7,BFM,0.01,6.0, 80.0, 6105.298387332064
100,TPX,0.7,BFM,0.01,2.0, 132.0, 23911.862997881926
100,TPX,0.7,BFM,0.01,5.0, 84.0, 6188.995497914003
100,TPX,0.7,BFM,0.01,7.0, 78.0, 5391.678885263456
100,TPX,0.7,BFM,0.05,1.0, 196.0, 67880.3635706255
100,TPX,0.7,BFM,0.05,2.0, 134.0, 21536.60069810438
100,TPX,0.7,BFM,0.05,5.0, 82.0, 6206.316928132286
100,TPX,0.7,BFM,0.05,7.0, 78.0, 5391.678885263456
100,TPX,0.7,BFM,0.05,3.0, 98.0, 9442.890268870551
100,TPX,0.7,BFM,0.05,2.0, 132.0, 23911.862997881926
100,TPX,0.7,BFM,0.05,5.0, 84.0, 6188.995497914003
100,TPX,0.7,BFM,0.05,4.0, 86.0, 6830.604633521283
100,TPX,0.7,BFM,0.05,6.0, 82.0, 5899.117767333966
100,TPX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
100,TPX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
100,TPX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
100,TPX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
100,TPX,0.7,BFM,0.1,5.0, 84.0, 6188.995497914003
100,TPX,0.7,BFM,0.1,6.0, 80.0, 6105.298387332064
100,TPX,0.7,BFM,0.1,4.0, 86.0, 6830.604633521283
100,TPX,0.7,BFM,0.1,7.0, 78.0, 5391.678885263456
100,TPX,0.7,BFM,0.1,6.0, 82.0, 5899.117767333966
100,TPX,0.7,BFM,0.1,5.0, 82.0, 6206.316928132286
100,TPX,0.9,BFM,0.01,2.0, 134.0, 21536.60069810438
100,TPX,0.9,BFM,0.01,1.0, 196.0, 67880.3635706255
100,TPX,0.9,BFM,0.01,2.0, 132.0, 23911.862997881926
100,TPX,0.9,BFM,0.01,6.0, 80.0, 6105.298387332064
100,TPX,0.9,BFM,0.01,3.0, 98.0, 9442.890268870551
100,TPX,0.9,BFM,0.01,6.0, 82.0, 5899.117767333966
100,TPX,0.9,BFM,0.01,4.0, 86.0, 6830.604633521283
100,TPX,0.9,BFM,0.01,5.0, 82.0, 5978.13916086702
100,TPX,0.9,BFM,0.01,7.0, 78.0, 5391.678885263456
100,TPX,0.9,BFM,0.05,2.0, 140.0, 23634.060564167856
100,TPX,0.9,BFM,0.05,11.0, 78.0, 5523.8175798520415
100,TPX,0.9,BFM,0.05,6.0, 82.0, 5899.117767333966
100,TPX,0.9,BFM,0.05,5.0, 82.0, 6206.316928132286
100,TPX,0.9,BFM,0.05,4.0, 86.0, 6830.604633521283
100,TPX,0.9,BFM,0.05,3.0, 98.0, 9442.890268870551
100,TPX,0.9,BFM,0.05,1.0, 196.0, 67880.3635706255
100,TPX,0.9,BFM,0.05,7.0, 82.0, 5738.80448825047
100,TPX,0.9,BFM,0.05,2.0, 132.0, 23911.862997881926
100,TPX,0.9,BFM,0.05,8.0, 80.0, 5802.42949240352
100,TPX,0.9,BFM,0.05,7.0, 78.0, 5855.094163995039
100,TPX,0.9,BFM,0.05,5.0, 84.0, 6188.995497914003
100,TPX,0.9,BFM,0.05,9.0, 80.0, 5701.026211072847
100,TPX,0.9,BFM,0.1,1.0, 196.0, 67880.3635706255
100,TPX,0.9,BFM,0.1,6.0, 80.0, 6105.298387332064
100,TPX,0.9,BFM,0.1,2.0, 134.0, 21536.60069810438
100,TPX,0.9,BFM,0.1,2.0, 132.0, 23911.862997881926
100,TPX,0.9,BFM,0.1,3.0, 98.0, 9442.890268870551
100,TPX,0.9,BFM,0.1,5.0, 82.0, 5978.13916086702
100,TPX,0.9,BFM,0.1,6.0, 82.0, 5899.117767333966
100,TPX,0.9,BFM,0.1,4.0, 86.0, 6830.604633521283
100,TPX,0.9,BFM,0.1,7.0, 78.0, 5391.678885263456
100,TPX,1.0,BFM,0.01,2.0, 134.0, 21536.60069810438
100,TPX,1.0,BFM,0.01,1.0, 196.0, 67880.3635706255
100,TPX,1.0,BFM,0.01,2.0, 132.0, 23911.862997881926
100,TPX,1.0,BFM,0.01,3.0, 98.0, 9442.890268870551
100,TPX,1.0,BFM,0.01,6.0, 80.0, 6105.298387332064
100,TPX,1.0,BFM,0.01,5.0, 82.0, 5978.13916086702
100,TPX,1.0,BFM,0.01,7.0, 78.0, 5391.678885263456
100,TPX,1.0,BFM,0.01,4.0, 86.0, 6830.604633521283
100,TPX,1.0,BFM,0.01,6.0, 82.0, 5899.117767333966
100,TPX,1.0,BFM,0.05,1.0, 196.0, 67880.3635706255
100,TPX,1.0,BFM,0.05,6.0, 82.0, 5899.117767333966
100,TPX,1.0,BFM,0.05,10.0, 78.0, 5439.440344912021
100,TPX,1.0,BFM,0.05,3.0, 98.0, 9442.890268870551
100,TPX,1.0,BFM,0.05,4.0, 86.0, 6830.604633521283
100,TPX,1.0,BFM,0.05,2.0, 134.0, 21536.60069810438
100,TPX,1.0,BFM,0.05,6.0, 80.0, 6105.298387332064
100,TPX,1.0,BFM,0.05,8.0, 80.0, 5802.42949240352
100,TPX,1.0,BFM,0.05,2.0, 132.0, 23911.862997881926
100,TPX,1.0,BFM,0.05,5.0, 82.0, 5978.13916086702
100,TPX,1.0,BFM,0.1,1.0, 196.0, 67880.3635706255
100,TPX,1.0,BFM,0.1,3.0, 98.0, 9442.890268870551
100,TPX,1.0,BFM,0.1,2.0, 134.0, 21536.60069810438
100,TPX,1.0,BFM,0.1,2.0, 132.0, 23911.862997881926
100,TPX,1.0,BFM,0.1,4.0, 86.0, 6830.604633521283
100,TPX,1.0,BFM,0.1,10.0, 78.0, 5322.706176732497
100,TPX,1.0,BFM,0.1,7.0, 78.0, 5391.678885263456
100,TPX,1.0,BFM,0.1,6.0, 80.0, 5856.036511415234
100,TPX,1.0,BFM,0.1,5.0, 84.0, 6188.995497914003
100,TPX,0.7,IM,0.01,6.0, 82.0, 5899.117767333966
100,TPX,0.7,IM,0.01,6.0, 80.0, 6105.298387332064
100,TPX,0.7,IM,0.01,2.0, 134.0, 21536.60069810438
100,TPX,0.7,IM,0.01,4.0, 88.0, 7140.984939783078
100,TPX,0.7,IM,0.01,1.0, 196.0, 67880.3635706255
100,TPX,0.7,IM,0.01,3.0, 98.0, 9442.890268870551
100,TPX,0.7,IM,0.01,4.0, 86.0, 7191.4970823983895
100,TPX,0.7,IM,0.01,7.0, 78.0, 5391.678885263456
100,TPX,0.7,IM,0.01,2.0, 132.0, 23911.862997881926
100,TPX,0.7,IM,0.01,5.0, 84.0, 6188.995497914003
100,TPX,0.7,IM,0.05,1.0, 196.0, 67880.3635706255
100,TPX,0.7,IM,0.05,2.0, 134.0, 21536.60069810438
100,TPX,0.7,IM,0.05,2.0, 132.0, 23911.862997881926
100,TPX,0.7,IM,0.05,3.0, 98.0, 9442.890268870551
100,TPX,0.7,IM,0.05,9.0, 78.0, 5675.644066727573
100,TPX,0.7,IM,0.05,6.0, 82.0, 5899.117767333966
100,TPX,0.7,IM,0.05,7.0, 82.0, 5738.80448825047
100,TPX,0.7,IM,0.05,4.0, 86.0, 6830.604633521283
100,TPX,0.7,IM,0.05,5.0, 82.0, 5978.13916086702
100,TPX,0.7,IM,0.05,8.0, 80.0, 5802.42949240352
100,TPX,0.7,IM,0.1,6.0, 80.0, 6105.298387332064
100,TPX,0.7,IM,0.1,1.0, 196.0, 67880.3635706255
100,TPX,0.7,IM,0.1,2.0, 134.0, 21536.60069810438
100,TPX,0.7,IM,0.1,4.0, 86.0, 6830.604633521283
100,TPX,0.7,IM,0.1,3.0, 98.0, 9442.890268870551
