config,qt1,qt2,qt3,qt4,qt5,qt6,qt7,qt8,qt9,qt10,qt11,soma_qt,soma_ponderada,normalizacao
"100,HUX,0.0,BFM,0.01",6,2,1,0,0,0,0,0,0,0,0,9,95,10.555555555555555
"100,HUX,0.0,BFM,0.05",7,0,2,0,0,0,0,0,0,0,0,9,95,10.555555555555555
"100,HUX,0.0,BFM,0.1",7,0,1,0,0,0,0,0,0,0,0,8,86,10.75
"100,HUX,0.0,IM,0.01",7,0,1,0,0,0,0,0,0,0,0,8,86,10.75
"100,HUX,0.0,IM,0.05",6,1,1,0,0,0,0,0,0,0,0,8,85,10.625
"100,HUX,0.0,IM,0.1",7,0,1,0,0,0,0,0,0,0,0,8,86,10.75
"100,TPX,0.7,BFM,0.01",6,1,2,0,0,0,0,0,0,0,0,9,94,10.444444444444445
"100,TPX,0.7,BFM,0.05",6,2,1,0,0,0,0,0,0,0,0,9,95,10.555555555555555
"100,TPX,0.7,BFM,0.1",6,2,2,0,0,0,0,0,0,0,0,10,104,10.4
"100,TPX,0.9,BFM,0.01",7,0,2,0,0,0,0,0,0,0,0,9,95,10.555555555555555
"100,TPX,0.9,BFM,0.05",4,5,2,0,2,0,0,0,0,0,0,13,126,9.692307692307692
"100,TPX,0.9,BFM,0.1",7,0,2,0,0,0,0,0,0,0,0,9,95,10.555555555555555
"100,TPX,1.0,BFM,0.01",7,0,2,0,0,0,0,0,0,0,0,9,95,10.555555555555555
"100,TPX,1.0,BFM,0.05",6,1,2,0,1,0,0,0,0,0,0,10,101,10.1
"100,TPX,1.0,BFM,0.1",7,2,0,0,0,0,0,0,0,0,0,9,97,10.777777777777779
"100,TPX,0.7,IM,0.01",5,3,2,0,0,0,0,0,0,0,0,10,103,10.3
"100,TPX,0.7,IM,0.05",6,1,2,0,1,0,0,0,0,0,0,10,101,10.1
"100,TPX,0.7,IM,0.1",7,0,2,0,0,0,0,0,0,0,0,9,95,10.555555555555555
"100,TPX,0.9,IM,0.01",7,0,1,1,0,0,0,0,0,0,0,9,94,10.444444444444445
"100,TPX,0.9,IM,0.05",5,3,1,0,0,0,1,1,0,0,0,11,103,9.363636363636363
"100,TPX,0.9,IM,0.1",7,0,1,0,0,0,0,0,0,0,0,8,86,10.75
"100,TPX,1.0,IM,0.01",6,1,2,0,2,0,1,0,0,0,0,12,113,9.416666666666666
"100,TPX,1.0,IM,0.05",4,5,2,1,0,0,0,0,0,0,0,12,120,10.0
