seed,pop_size,crossover,crossover_prob,mutation,mutation_prob,F1,F2,F3
60,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
60,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
60,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
60,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
60,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
60,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
60,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
60,200,HUX,0.0,BFM,0.01,6.0, 80.0, 6105.298387332064
60,200,HUX,0.0,BFM,0.01,6.0, 82.0, 5899.117767333966
100,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
100,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
100,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
100,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
100,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
100,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
100,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
100,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
90,200,HUX,0.0,BFM,0.01,5.0, 82.0, 5978.13916086702
90,200,HUX,0.0,BFM,0.01,6.0, 80.0, 5856.036511415234
90,200,HUX,0.0,BFM,0.01,4.0, 86.0, 6830.604633521283
90,200,HUX,0.0,BFM,0.01,3.0, 98.0, 9442.890268870551
90,200,HUX,0.0,BFM,0.01,1.0, 196.0, 67880.3635706255
90,200,HUX,0.0,BFM,0.01,2.0, 134.0, 21536.60069810438
90,200,HUX,0.0,BFM,0.01,2.0, 132.0, 23911.862997881926
90,200,HUX,0.0,BFM,0.01,7.0, 78.0, 5391.678885263456
80,200,HUX,0.0,IM,0.05,1.0, 196.0, 67880.3635706255
80,200,HUX,0.0,IM,0.05,2.0, 134.0, 21536.60069810438
80,200,HUX,0.0,IM,0.05,3.0, 98.0, 9442.890268870551
80,200,HUX,0.0,IM,0.05,2.0, 132.0, 23911.862997881926
80,200,HUX,0.0,IM,0.05,4.0, 86.0, 6830.604633521283
80,200,HUX,0.0,IM,0.05,7.0, 78.0, 5391.678885263456
80,200,HUX,0.0,IM,0.05,5.0, 82.0, 5978.13916086702
80,200,HUX,0.0,IM,0.05,6.0, 82.0, 5899.117767333966
80,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
80,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
80,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
80,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
80,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
80,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
80,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
80,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
60,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
60,100,UX,0.5,BFM,0.05,2.0, 134.0, 21536.60069810438
60,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
60,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
60,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
60,100,UX,0.5,BFM,0.05,5.0, 82.0, 5978.13916086702
60,100,UX,0.5,BFM,0.05,6.0, 82.0, 5899.117767333966
60,100,UX,0.5,BFM,0.05,7.0, 78.0, 5391.678885263456
20,100,UX,0.5,BFM,0.05,6.0, 82.0, 5900.916044556201
20,100,UX,0.5,BFM,0.05,2.0, 140.0, 23634.060564167856
20,100,UX,0.5,BFM,0.05,1.0, 196.0, 67880.3635706255
20,100,UX,0.5,BFM,0.05,3.0, 98.0, 9442.890268870551
20,100,UX,0.5,BFM,0.05,2.0, 132.0, 23911.862997881926
20,100,UX,0.5,BFM,0.05,7.0, 82.0, 5738.80448825047
20,100,UX,0.5,BFM,0.05,4.0, 86.0, 6830.604633521283
20,100,UX,0.5,BFM,0.05,10.0, 78.0, 5439.440344912021
